ID,Image Path,Copyright Status,Watermark Status,Exif Status,AI,Authentic
0,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_1.png_20240927_122623.jpg,Clear,Clean,Complete,1.6292561744180034e-08,100.0
1,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_1.png_20240927_175729.jpg,Medium Risk, With watermark,Complete,3.737996934205512e-06,100.0
2,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_2.png_20240927_122624.jpg,Clear,Clean,Complete,5.753833320909507e-06,100.0
3,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_2.png_20240927_175731.jpg,Medium Risk, With watermark,Complete,3.619793460529763e-05,99.99996423721313
4,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_3.png_20240927_122626.jpg,Clear,Clean,Complete,0.00453839311376214,99.99545812606812
5,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_3.png_20240927_175732.jpg,Medium Risk, With watermark,Complete,6.254524009818851e-05,99.99994039535522
6,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_4.png_20240927_122628.jpg,Medium Risk, With watermark,Complete,5.798803215384396e-07,100.0
7,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_4.png_20240927_175734.jpg,Medium Risk, With watermark,Complete,7.181782990528518e-06,99.99998807907104
8,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_5.png_20240927_122629.jpg,Clear,Clean,Complete,0.0002207479610660812,99.99977350234985
9,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_5.png_20240927_175735.jpg,Medium Risk, With watermark,Complete,0.028403737815096974,99.97159838676453
10,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_6.png_20240927_122631.jpg,Clear,Clean,Complete,1.1571688052214313e-07,100.0
11,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_6.png_20240927_175737.jpg,Medium Risk, With watermark,Complete,4.281026804164867e-05,99.99995231628418
12,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_7.png_20240927_175738.jpg,Medium Risk, With watermark,Complete,6.38530877949961e-05,99.99994039535522
13,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_8.png_20240927_175740.jpg,Medium Risk, With watermark,Complete,0.018923397874459624,99.98107552528381
14,../../../../dataset/fraud/evaluation-dataset/authentic/listing_10_image_9.png_20240927_175741.jpg,Medium Risk, With watermark,Complete,0.00037260672343109036,99.99963045120239
15,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_1.png_20240927_122636.jpg,Clear,Clean,Complete,0.00012038348131682142,99.99988079071045
16,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_1.png_20240927_175748.jpg,Clear,Clean,Complete,1.991516000998672e-05,99.99997615814209
17,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_2.png_20240927_175750.jpg,Clear,Clean,Complete,0.00015932007499941392,99.99984502792358
18,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_3.png_20240927_175751.jpg,Clear,Clean,Complete,0.006046158887329511,99.99395608901978
19,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_4.png_20240927_175753.jpg,Clear,Clean,Complete,0.00021917428512097104,99.99978542327881
20,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_5.png_20240927_175754.jpg,Clear,Clean,Complete,0.00020485520053625805,99.99979734420776
21,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_6.png_20240927_175756.jpg,Clear,Clean,Complete,64.60843682289124,35.39156913757324
22,../../../../dataset/fraud/evaluation-dataset/authentic/listing_11_image_7.png_20240927_175758.jpg,Clear,Clean,Complete,0.00039301357901422307,99.99960660934448
23,../../../../dataset/fraud/evaluation-dataset/authentic/listing_12_image_1.png_20240927_122642.jpg,Clear,Clean,Complete,7.501957943745197e-08,100.0
24,../../../../dataset/fraud/evaluation-dataset/authentic/listing_12_image_1.png_20240927_175804.jpg,Clear,Clean,Complete,5.0869880396930967e-05,99.99995231628418
25,../../../../dataset/fraud/evaluation-dataset/authentic/listing_12_image_2.png_20240927_122644.jpg,Clear,Clean,Complete,4.0900755493566976e-05,99.99996423721313
26,../../../../dataset/fraud/evaluation-dataset/authentic/listing_12_image_2.png_20240927_175805.jpg,Clear,Clean,Complete,6.836739182472229,93.16325783729553
27,../../../../dataset/fraud/evaluation-dataset/authentic/listing_12_image_3.png_20240927_122645.jpg,Medium Risk, With watermark,Complete,1.4210129961611528e-05,99.99998807907104
28,../../../../dataset/fraud/evaluation-dataset/authentic/listing_12_image_3.png_20240927_175807.jpg,Medium Risk, With watermark,Complete,2.4301035329699516,97.56989479064941
